 Sr.No , Type , Speciality , SKU Code , Short Specification , Detailed Specification , Unit Of Manufracturng , Units , Portfolio , Brand , Sub Brand , Section 
1, Others ,NCV,ABW810,GT-BONEWAX (2 GM),BONEWAX X 2 GM,DZ, 12 , P-1 ,Aspiron,Aspiron Others,Section M
2, Suture ,NCV,ACGC01 4226,GT-CHROMIC CATGUT 1 X 76-45MM 3/8 Circle Round Body,CHROMIC CATGUT 1 X 76-45MM 3/8 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
3, Suture ,NCV,ACGC01 4227,GT-CHROMIC CATGUT 1 X 100-45MM 1/2 Circle Round Body,CHROMIC CATGUT 1 X 100-45MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
4, Suture ,NCV,ACGC01 4248,GT-CHROMIC CATGUT 1 X 100-50MM 1/2 Circle Round Body,CHROMIC CATGUT 1 X 100-50MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
5, Suture ,NCV,ACGC01 4259,GT-CHROMIC CATGUT 1 X 76-40MM 1/2 Circle Round Body,CHROMIC CATGUT 1 X 76-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
6, Suture ,NCV,ACGC02 4228,GT-CHROMIC CATGUT 2 X 100-45MM 1/2 Circle Round Body,CHROMIC CATGUT 2 X 100-45MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
7, Suture ,NCV,ACGC10 4221,GT-CHROMIC CATGUT 0 X 76-40MM 3/8 Circle Round Body,CHROMIC CATGUT 0 X 76-40MM 3/8 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
8, Suture ,NCV,ACGC10 4229,GT-CHROMIC CATGUT 0 X 100-45MM 1/2 Circle Round Body,CHROMIC CATGUT 0 X 100-45MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
9, Suture ,NCV,ACGC10 4242,GT-CHROMIC CATGUT 0 X 76-30MM 1/2 Circle Round Body,CHROMIC CATGUT 0 X 76-30MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
10, Suture ,NCV,ACGC10 4246,GT-CHROMIC CATGUT 0 X 76-40MM 1/2 Circle Round Body,CHROMIC CATGUT 0 X 76-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
11, Suture ,NCV,ACGC20 4216,GT-CHROMIC CATGUT 2-0 X 76-30MM 3/8 Circle Round Body,CHROMIC CATGUT 2-0 X 76-30MM 3/8 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
12, Suture ,NCV,ACGC20 4241,GT-CHROMIC CATGUT 2-0 X 76-30MM 1/2 Circle Round Body,CHROMIC CATGUT 2-0 X 76-30MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
13, Suture ,NCV,ACGC30 4237,GT-CHROMIC CATGUT 3-0 X 76-20MM 1/2 Circle Round Body,CHROMIC CATGUT 3-0 X 76-20MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
14, Suture ,NCV,ACGS01 2215,GT-CHROMIC CATGUT 1 X 152,CHROMIC CATGUT 1 X 152,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
15, Suture ,NCV,ACGS10 2214,GT-CHROMIC CATGUT 0 X 152,CHROMIC CATGUT 0 X 152,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
16, Kit ,Mesh,AMHR KIT 1,"GT-APPL20844APGN202317,ANYL203336APPM611","GT-APPL20844APGN202317,ANYL203336APPM611",BOX, 1 , P-1 ,Aspiron,Aspiron Mesh Kit,Section M
17, Kit ,Mesh,AMHR KIT 2,"GT-APPL20844APGN202317,ANYL203336APPM715","GT-APPL20844APGN202317,ANYL203336APPM715",BOX, 1 , P-1 ,Aspiron,Aspiron Mesh Kit,Section M
18, Suture ,NCV,ANYL01 3338,GT-POLYAMIDE Black 1 X 100-45MM 1/2 Circle Reverse Cutting,POLYAMIDE BLACK  1 X 100-45MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
19, Suture ,NCV,ANYL01 3348,GT-POLYAMIDE Black 1 X 150-48MM 1/2 Circle Round Body LOOP,POLYAMIDE BLACK  1 X 150-48MM 1/2 CIRCLE ROUND BODY  LOOP,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
20, Suture ,NCV,ANYL013338NE,ANE-POLYAMIDE Black 1 X 100-45MM 1/2 Circle Reverse Cutting,POLYAMIDE BLACK  1 X 100-45MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section N
21, Suture ,NCV,ANYL013338Q1,SP-POLYAMIDE Black 1 X 100-45MM 1/2 Circle Reverse Cutting,POLYAMIDE BLACK  1 X 100-45MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
22, Suture ,NCV,ANYL10 3337,GT-POLYAMIDE Black 0 X 70-45MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  0 X 70-45MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
